book_id,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
1,Artificial Intelligence Basics Vol. 5,Ian Goodfellow,2.53,9299431714,1912941966233,spa,397,17412,1660,2002-07-08,Global Education Press
2,Introduction to Algorithms Vol. 4,John Smith,2.08,2542920550,1777753479042,eng,148,37671,909,2019-09-23,Open Knowledge Press
3,Design Patterns Vol. 4,Thomas H. Cormen,2.5,4805276975,5638904468277,eng,115,29363,3530,2000-10-22,Open Knowledge Press
4,Deep Learning Guide Vol. 4,Robert Martin,1.39,5722887067,3965563043076,ita,945,32170,2645,2020-01-24,Global Education Press
5,Effective Java Vol. 4,Guido van Rossum,2.05,8657084476,6159580690363,heb,859,17221,3646,2015-04-22,Global Education Press
6,Learning Python Vol. 4,James Gosling,1.12,5985975601,2872174718460,heb,1183,3246,1754,2022-04-28,Open Knowledge Press
7,Learning Python Vol. 5,Thomas H. Cormen,4.13,2191936416,9611702248179,heb,530,8028,655,1992-09-28,CodeMasters
8,Mastering SQL Vol. 5,Martin Fowler,4.72,6572673886,7146174699648,spa,86,16996,3421,1991-01-01,Future Learn Publications
9,Learning Python Vol. 4,Ian Goodfellow,4.45,5808582190,1482699432574,deu,722,35526,428,1998-07-24,Future Learn Publications
10,Effective Java Vol. 1,Thomas H. Cormen,4.09,8286746342,8665621245063,heb,876,35611,4176,2001-08-30,CodeMasters
11,Deep Learning Guide Vol. 4,James Gosling,4.58,5290706396,7515579833545,fra,239,21862,4251,1992-12-22,CodeMasters
12,Clean Code Vol. 1,Bjarne Stroustrup,2.65,7351235229,4701313655100,eng,527,9165,3498,2010-08-18,TechBooks Publishing
13,Mastering SQL Vol. 2,Robert Martin,4.71,1443906749,3578827623307,deu,640,6129,1471,2011-11-02,Academic House
14,Introduction to Algorithms Vol. 1,Martin Fowler,3.35,5574433529,3682693746136,eng,462,36269,506,2001-03-23,Future Learn Publications
15,Design Patterns Vol. 1,Robert Martin,4.0,7356834076,5528392242115,heb,991,5666,697,2006-04-01,Global Education Press
16,Operating Systems Concepts Vol. 4,James Gosling,2.74,6445136369,4760613822302,eng,770,29638,1014,2022-12-25,CodeMasters
17,Learning Python Vol. 4,Thomas H. Cormen,4.7,2471757665,6054838878159,fra,419,38076,1611,1999-11-24,TechBooks Publishing
18,Effective Java Vol. 2,James Gosling,2.71,1454471279,1107786761818,deu,639,39662,2694,2008-12-19,Future Learn Publications
19,Effective Java Vol. 2,Jane Doe,3.61,9670871678,2609330309724,deu,106,5245,966,2011-05-16,Academic House
20,Design Patterns Vol. 4,James Gosling,4.34,5811565057,1765499201736,spa,847,22907,62,2011-06-19,TechBooks Publishing
21,Data Structures in C Vol. 4,Robert Martin,3.5,8291652472,6002517105035,spa,475,49060,2853,2004-03-12,CodeMasters
22,Operating Systems Concepts Vol. 1,Bjarne Stroustrup,3.11,8603439946,1346388709808,spa,259,46288,3133,1994-11-12,TechBooks Publishing
23,Data Structures in C Vol. 2,Ian Goodfellow,2.38,9629233048,1613436257144,fra,59,26456,338,2000-06-22,Global Education Press
24,Design Patterns Vol. 4,James Gosling,1.91,2856283125,4384945304215,heb,637,41831,888,2000-06-18,Future Learn Publications
25,Deep Learning Guide Vol. 5,Ian Goodfellow,1.21,9957131204,5427898559736,fra,620,23961,1718,2014-09-07,TechBooks Publishing
26,Data Structures in C Vol. 5,Andrew Tanenbaum,4.38,6251700980,5729863007524,deu,853,18519,4137,2017-04-06,CodeMasters
27,Computer Networks Vol. 5,Ian Goodfellow,3.11,3861236840,5570822796799,spa,626,33040,86,2024-03-13,Open Knowledge Press
28,Deep Learning Guide Vol. 2,James Gosling,1.99,5933341538,6707236842016,fra,1073,31035,2879,2005-01-05,Academic House
29,Design Patterns Vol. 4,Andrew Tanenbaum,4.63,6384390726,8221132954613,heb,270,19655,1943,1990-04-16,Global Education Press
30,Introduction to Algorithms Vol. 5,Robert Martin,1.25,8093235077,9578695793632,ita,374,8333,1562,2015-07-20,Future Learn Publications
31,Introduction to Algorithms Vol. 2,Andrew Tanenbaum,3.9,6501607123,8659500431071,deu,732,11047,3393,2020-01-24,Global Education Press
32,Deep Learning Guide Vol. 3,Bjarne Stroustrup,3.01,3752626915,4928769822592,spa,883,38832,1723,2005-07-26,Open Knowledge Press
33,Mastering SQL Vol. 5,Bjarne Stroustrup,3.51,2449488961,6859132870738,fra,68,44369,1242,2022-08-09,Academic House
34,Data Structures in C Vol. 3,Jane Doe,4.05,8475414623,5675325600264,eng,328,37379,3811,1991-06-27,Global Education Press
35,Design Patterns Vol. 1,James Gosling,4.69,6965301052,8048778845422,heb,792,38434,3728,1998-05-18,CodeMasters
36,Data Structures in C Vol. 4,Guido van Rossum,3.17,1891305591,9099964960637,spa,1069,21985,3036,1994-04-18,Open Knowledge Press
37,Clean Code Vol. 2,Andrew Tanenbaum,4.21,4378177144,3339644549871,ita,1168,36954,2457,2004-06-10,TechBooks Publishing
38,Design Patterns Vol. 2,Robert Martin,1.78,4574073723,8584910384558,spa,228,24469,4622,1997-03-26,Future Learn Publications
39,Clean Code Vol. 2,Thomas H. Cormen,3.68,4947282485,4652653445903,heb,1093,35375,2769,2018-09-08,TechBooks Publishing
40,Deep Learning Guide Vol. 2,Robert Martin,2.4,3642581669,4494377678983,deu,792,8003,2095,2020-01-31,Global Education Press
41,Learning Python Vol. 3,John Smith,2.21,4143181446,7470558651130,deu,746,42832,154,2024-02-24,CodeMasters
42,Artificial Intelligence Basics Vol. 1,Martin Fowler,2.59,6554832796,6457035225597,deu,132,11708,1304,2017-04-01,Academic House
43,Artificial Intelligence Basics Vol. 2,James Gosling,4.28,8970307792,3964315645492,ita,567,7629,32,2003-06-22,Future Learn Publications
44,Introduction to Algorithms Vol. 4,Martin Fowler,3.1,6168331189,9362316185444,eng,1187,9300,106,2000-11-25,Open Knowledge Press
